Time,Position_x,Position_y,Position_z,EulerAngles_x,EulerAngles_y,EulerAngles_z,pupilDiameterLeft,pupilPositionLeft_x,pupilPositionLeft_y,eyeOpenLeft,pupilDiameterRight,pupilPositionRight_x,pupilPositionRight_y,eyeOpenRightJaw_Forward,Jaw_Right,Jaw_Left,Jaw_Open,Mouth_Ape_Shape,Mouth_O_Shape,Mouth_Pout,Mouth_Lower_Right,Mouth_Lower_Left,Mouth_Smile_Right,Mouth_Smile_Left,Mouth_Sad_Right,Mouth_Sad_Left,Cheek_Puff_Right,Cheek_Puff_Left,Mouth_Lower_Inside,Mouth_Upper_Inside,Mouth_Lower_Overlay,Mouth_Upper_Overlay,Cheek_Suck,Mouth_LowerRight_Down,Mouth_LowerLeft_Down,Mouth_UpperRight_Up,Mouth_UpperLeft_Up,Mouth_Philtrum_Right,Mouth_Philtrum_Left
2022/7/8 14:05:16,0.5380685,1.682024,0.4117693,-18.81,-4.76,-9.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022/7/8 14:05:16,0.5380685,1.682024,0.4117693,-18.81,-4.76,-9.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022/7/8 14:05:16,0.5380686,1.682024,0.4117689,-18.81,-4.76,-9.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022/7/8 14:05:16,0.5382636,1.682049,0.4112312,-18.81,-4.78,-10.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022/7/8 14:05:16,0.5382636,1.682049,0.4112312,-18.81,-4.78,-10.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022/7/8 14:05:16,0.5382635,1.682049,0.4112315,-18.81,-4.78,-10.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022/7/8 14:05:16,0.5385053,1.682043,0.4107292,-18.8,-4.81,-10.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022/7/8 14:05:16,0.5385053,1.682043,0.4107292,-18.8,-4.81,-10.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022/7/8 14:05:16,0.538638,1.681978,0.4100888,-18.81,-4.83,-10.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022/7/8 14:05:16,0.538638,1.681978,0.4100888,-18.81,-4.83,-10.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022/7/8 14:05:16,0.5386379,1.681978,0.4100889,-18.81,-4.83,-10.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022/7/8 14:05:16,0.5387838,1.681921,0.4095626,-18.81,-4.85,-10.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022/7/8 14:05:16,0.5387839,1.681921,0.4095625,-18.81,-4.85,-10.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022/7/8 14:05:16,0.5390214,1.681894,0.4091419,-18.8,-4.87,-10.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
